Gene,basal_avg,basal_down,basal_up,her2_avg,her2_down,her2_up,lumA_avg,lumA_down,lumA_up,lumB_avg,lumB_down,lumB_up
ACP5,-0.080728636,-0.290836428,0.129379157,-0.246431603,-0.519552735,0.026689529,0.023140242,-0.241112119,0.287392603,0.161586213,-0.013006185,0.33617861
ACSF2,-0.669710693,-0.864636992,-0.474784393,0.224482053,-0.084008984,0.532973091,0.405596913,0.198671141,0.612522686,0.001344951,-0.182629944,0.185319846
ACSF3,-0.016822665,-0.209949735,0.176304404,-0.585058019,-0.93987687,-0.230239168,0.202153956,-0.025704385,0.430012297,0.111415134,-0.06585679,0.288687058
ACSL1,0.306080887,0.091163918,0.520997857,0.338933041,0.037384523,0.640481559,-0.07188319,-0.299990051,0.156223671,-0.330139129,-0.514368091,-0.145910168
ACSL3,0.418072251,0.148052139,0.688092362,0.315812243,0.052200351,0.579424135,-0.336592855,-0.505749056,-0.167436653,-0.148892157,-0.355473373,0.05768906
ACSL4,0.966012676,0.750677511,1.181347841,0.065928515,-0.205254038,0.337111067,-0.333967584,-0.523012708,-0.144922459,-0.437421497,-0.578672895,-0.296170099
ACSL5,0.438942786,0.253692289,0.624193283,0.418290914,0.041277081,0.795304748,-0.218210532,-0.402612981,-0.033808083,-0.32923412,-0.52551235,-0.132955889
ACSL6,0.359431662,0.114958174,0.60390515,0.302834519,-0.039383914,0.645052953,-0.135709869,-0.363806039,0.092386302,-0.290935715,-0.432390049,-0.149481381
ACSM1,-0.112342276,-0.29666878,0.071984229,0.162184235,-0.294796194,0.619164663,-0.094990594,-0.303517983,0.113536796,0.08852388,-0.085772573,0.262820334
ACSM3,0.415166468,-0.121760312,0.952093248,0.50494823,0.166758238,0.843138223,-0.331050055,-0.57828943,-0.083810681,-0.162668711,-0.447151297,0.121813875
ACSS1,-0.325132315,-0.495683351,-0.154581279,-0.158935383,-0.501858078,0.183987313,0.028252551,-0.174255055,0.230760157,0.296241566,0.073059348,0.519423785
ACSS2,0.054052556,-0.179804662,0.287909773,-0.04462478,-0.330157837,0.240908278,-0.143792094,-0.338131293,0.050547105,0.11957373,-0.111592205,0.350739664
ACSS3,-0.43179251,-0.611162203,-0.252422817,0.227289339,-0.08587863,0.540457309,0.020499337,-0.217838469,0.258837143,0.190554515,-0.002667482,0.383776512
ACTA1,0.458150068,0.142039239,0.774260896,-0.207383957,-0.413219577,-0.001548336,0.142034439,-0.046361774,0.330430651,-0.376036909,-0.539327764,-0.212746055
ACTA2,0.427790151,0.094018567,0.761561734,-0.208346021,-0.406656139,-0.010035902,0.149402663,-0.033463656,0.332268982,-0.359847155,-0.515434978,-0.204259332
ACTB,0.30450271,0.026095823,0.582909597,0.119722136,-0.082318381,0.321762652,0.002924515,-0.231578991,0.237428021,-0.29104076,-0.462318603,-0.119762918
ACTBL2,0.381475101,0.143741467,0.619208734,-0.576027532,-1.017686461,-0.134368604,0.130177841,-0.027512365,0.287868047,-0.122846324,-0.282227403,0.036534756
ACTG1,0.282423513,0.003144167,0.561702859,0.104252072,-0.091174408,0.299678552,0.010568121,-0.227779562,0.248915804,-0.274071453,-0.444187021,-0.103955885
ACTG2,0.437634979,0.103280133,0.771989825,-0.211783284,-0.404677392,-0.018889177,0.142618186,-0.041233805,0.326470177,-0.359010354,-0.513821047,-0.204199661
ACTL6A,0.19531105,-0.014633083,0.405255182,0.084539034,-0.198683847,0.367761914,-0.365495645,-0.581368051,-0.149623238,0.161513855,-0.05075963,0.37378734
ACTL6B,0.266232631,0.033865787,0.498599476,-0.454954369,-0.746114897,-0.163793841,0.066279796,-0.138705885,0.271265477,-0.035715427,-0.244813428,0.173382574
ACTL8,0.410100392,0.074101893,0.74609889,0.05037752,-0.310866399,0.411621439,-0.383189197,-0.52340139,-0.242977003,0.083400711,-0.124933946,0.291735368
ACTN1,0.663904398,0.414805288,0.913003508,0.006574551,-0.258581836,0.271730937,-0.033252736,-0.240037238,0.173531766,-0.469348369,-0.627741378,-0.31095536
ACTN2,0.931120186,0.680281537,1.181958834,-0.179398057,-0.39491749,0.036121377,0.010089705,-0.162250878,0.182430287,-0.618310411,-0.762124583,-0.47449624
ACTN3,0.816920412,0.567084993,1.066755831,-0.119054439,-0.339875103,0.101766225,0.044455324,-0.143827956,0.232738603,-0.595766108,-0.747919265,-0.44361295
ACTN4,1.071595308,0.805122509,1.338068107,-0.201327838,-0.429310471,0.026654796,-0.174141325,-0.340769211,-0.007513438,-0.536147126,-0.636952832,-0.43534142
ACTR10,-0.391493671,-0.592226976,-0.190760366,0.321937097,0.087968714,0.55590548,0.336662696,0.144975265,0.528350127,-0.189983379,-0.428396374,0.048429617
ACTR1A,-0.283479356,-0.583673711,0.016714999,0.244529156,-0.114320196,0.603378509,0.176991279,-0.003325017,0.357307575,-0.079271704,-0.232373004,0.073829597
ACTR1B,-0.236033662,-0.546335631,0.074268308,0.170384816,-0.144797641,0.485567273,0.260008122,0.04416729,0.475848953,-0.157341612,-0.272731725,-0.041951498
ACTR2,0.649535414,0.431412851,0.867657976,0.266235502,0.04479703,0.487673974,-0.115012765,-0.308667511,0.07864198,-0.510048745,-0.709686289,-0.310411201
ACTR3,0.629538623,0.356850072,0.902227173,0.128742034,-0.050933833,0.308417901,-0.201416641,-0.393394753,-0.00943853,-0.343500703,-0.534977851,-0.152023555
ACTR3B,0.519515222,0.332989476,0.706040968,-0.080938184,-0.416509307,0.254632939,0.095569271,-0.080843461,0.271982002,-0.440754543,-0.657502677,-0.224006409
