Gene,basal_avg,basal_down,basal_up,her2_avg,her2_down,her2_up,lumA_avg,lumA_down,lumA_up,lumB_avg,lumB_down,lumB_up,norm_avg,norm_down,norm_up
ABR,-0.461523045,-1.683625528,0.760579438,-0.056507099,-0.623682838,0.510668639,0.141139164,-0.484573703,0.766852031,0.604016311,-0.900335402,2.108368023,-0.22712533,-0.876032698,0.421782038
ABRACL,0.56029751,-0.45044973,1.57104475,0.35568822,-0.563668615,1.275045055,-1.036214255,-1.755463205,-0.316965305,-0.143501161,-0.715890388,0.428888066,0.263729686,-0.789052134,1.316511506
ABT1,1.245592152,-0.088500583,2.579684887,-0.118059132,-0.95121962,0.715101356,-0.399652291,-0.914558878,0.115254295,-0.224558904,-0.86472636,0.415608551,-0.503321824,-0.943279572,-0.063364077
ABTB1,-0.499928993,-1.588459954,0.588601968,-0.07878739,-0.816122085,0.658547305,-0.012045766,-0.8303914,0.806299868,0.289420268,-0.905315054,1.484155591,0.301341881,-0.845238549,1.447922312
ABTB2,1.092560732,-0.084311048,2.269432513,-0.189324775,-0.685680551,0.307031001,-0.74304312,-1.123954746,-0.362131494,-0.242338917,-1.097806214,0.613128381,0.082146079,-0.937007249,1.101299407
ACAA1,-0.246186014,-1.221034372,0.728662344,0.62593009,-0.304489746,1.556349926,0.147087243,-0.785850885,1.080025371,-0.520868775,-1.376898521,0.335160971,-0.005962544,-1.175273152,1.163348063
ACAA2,0.694618136,-0.548190051,1.937426324,0.107922813,-0.882117907,1.097963532,-0.502138102,-1.024523698,0.020247494,-0.297320127,-1.373349497,0.778709244,-0.00308272,-0.857770677,0.851605237
ACACA,-0.130320633,-1.14558891,0.884947643,0.189500548,-0.77289895,1.151900047,0.002650736,-0.718264989,0.72356646,0.215994624,-1.134255811,1.566245059,-0.277825274,-1.339092258,0.78344171
ACACB,-0.109898723,-1.464999656,1.24520221,-0.542103778,-1.31766257,0.233455014,0.58666387,-0.493382378,1.666710118,-0.178770095,-0.919534381,0.56199419,0.244108726,-0.554385031,1.042602483
ACAD10,0.724218575,-0.86351126,2.31194841,-0.001837382,-0.68963464,0.685959876,-0.474259007,-1.038980616,0.090462602,0.299167886,-0.623116396,1.221452168,-0.547290072,-0.972471286,-0.122108858
ACAD11,-0.179242003,-0.97864309,0.620159084,0.225807694,-1.235872066,1.687487454,-0.525704417,-1.331700609,0.280291775,0.684878358,-0.004068112,1.373824828,-0.205739632,-1.069131396,0.657652131
ACAD8,-0.417374981,-1.521841989,0.687092026,-0.520836156,-1.205247437,0.163575124,0.337209825,-0.56876441,1.243184059,0.041608862,-1.121710794,1.204928518,0.559392451,-0.323539488,1.442324389
ACAD9,0.949281399,-0.033223377,1.931786175,-0.634933057,-1.270042071,0.000175958,-0.163667103,-1.205701766,0.87836756,-0.185770786,-1.240443667,0.868902094,0.035089546,-0.686363931,0.756543024
