Gene,basal_avg,basal_down,basal_up,her2_avg,her2_down,her2_up,lumA_avg,lumA_down,lumA_up,lumB_avg,lumB_down,lumB_up,norm_avg,norm_down,norm_up
ACP1,0.259876051,0.062726889,0.457025213,-0.121127789,-0.359095328,0.11683975,0.130065677,0.016604862,0.243526492,-0.757035207,-1.066192259,-0.447878155,-0.076952294,-0.161629585,0.007724997
ACP2,-0.217463069,-0.328776043,-0.106150095,0.129038337,-0.169091347,0.427168021,0.159822358,0.011648973,0.307995743,-0.210264556,-0.445321825,0.024792713,-0.207096933,-0.782680177,0.368486311
ACP5,0.092794376,-0.081800444,0.267389196,0.517310419,0.177491119,0.857129719,-0.118099761,-0.236679821,0.000480299,-0.277143973,-0.522745452,-0.031542494,0.301950229,-0.345632998,0.949533456
ACP6,-0.230953689,-0.38245911,-0.079448268,0.108858736,-0.243934989,0.461652461,0.285943169,0.159848839,0.412037499,-0.569276833,-0.806748981,-0.331804685,-0.289483952,-0.629816801,0.050848897
ACPP,-0.367911675,-0.569824684,-0.165998666,1.061044952,0.666155956,1.455933948,-0.081613101,-0.204777527,0.041551325,-0.329669674,-0.473781154,-0.185558194,0.575534716,0.327343115,0.823726317
ACSF2,-0.865645319,-0.956142822,-0.775147816,0.565092674,0.278209005,0.851976343,0.345366839,0.214219082,0.476514596,-0.226948696,-0.396481918,-0.057415474,0.272926968,-0.139577633,0.685431569
ACSF3,-0.626863976,-0.795331082,-0.45839687,0.329649031,0.006020073,0.653277989,0.082683449,-0.028657176,0.194024074,0.449189118,0.16978257,0.728595666,0.242959452,-0.07763599,0.563554894
ACSL1,-0.013841813,-0.134629386,0.10694576,0.811795415,0.468275126,1.155315704,-0.095150502,-0.228426805,0.038125801,-0.54969795,-0.764659443,-0.334736457,0.760944101,0.475510407,1.046377795
ACSL3,-0.057428781,-0.170365004,0.055507442,1.292804812,0.799117136,1.786492488,-0.309049756,-0.399143038,-0.218956474,-0.075892573,-0.242997727,0.091212581,0.494435424,0.074804894,0.914065954
ACSL4,0.799965578,0.616737595,0.983193561,-0.000335258,-0.204173453,0.203502937,-0.283518469,-0.397533469,-0.169503469,-0.597195368,-0.815471763,-0.378918973,0.623713173,0.343059708,0.904366638
ACSL5,0.50754877,0.318611704,0.696485836,0.071393683,-0.312394552,0.455181918,-0.184429027,-0.299456731,-0.069401323,-0.417299806,-0.612446483,-0.222153129,0.377625069,0.226056889,0.529193249
ACSM1,-0.330893295,-0.431759856,-0.230026734,1.871165593,0.823593945,2.918737241,-0.140251671,-0.240662637,-0.039840705,-0.066202251,-0.150640546,0.018236044,-0.612379628,-1.454203431,0.229444175
ACSM3,0.168111379,0.040593347,0.295629411,1.052423798,0.21698204,1.887865556,-0.380332268,-0.526405046,-0.23425949,0.14847985,-0.147660893,0.444620593,-0.693728053,-1.26802862,-0.119427486
ACSS1,-0.460714963,-0.573775211,-0.347654715,0.136024275,-0.16789495,0.4399435,0.068540045,-0.049501473,0.186581563,0.369532739,0.009272297,0.729793181,0.253510992,-0.280612705,0.787634689
ACSS2,-0.565634992,-0.726624793,-0.404645191,0.773989973,0.323929522,1.224050424,0.014539616,-0.088932761,0.118011993,0.075821647,-0.105140102,0.256783396,0.689965802,0.483544413,0.896387191
ACSS3,-0.902854434,-0.998187247,-0.807521621,0.123428504,-0.2312865,0.478143508,0.417327371,0.310657636,0.523997106,-0.077415045,-0.339817992,0.184987902,0.396635027,0.080116193,0.713153861
ACTA1,0.727913866,0.443119585,1.012708147,-0.211835403,-0.49731939,0.073648584,-0.159945941,-0.259196401,-0.060695481,-0.652538138,-0.916186027,-0.388890249,0.72463571,0.370081736,1.079189684
ACTA2,-0.160399772,-0.328134823,0.007335279,0.309444875,0.092516157,0.526373593,0.170922048,0.040293854,0.301550242,-0.80944558,-1.028370388,-0.590520772,0.901661066,0.398125544,1.405196588
ACTB,0.239776169,0.103455606,0.376096732,0.673274283,0.517692707,0.828855859,-0.062021769,-0.208437395,0.084393857,-0.800438162,-1.012416049,-0.588460275,0.152668143,-0.208782154,0.51411844
