Gene,basal_avg,basal_down,basal_up,her2_avg,her2_down,her2_up,lumA_avg,lumA_down,lumA_up,lumB_avg,lumB_down,lumB_up,norm_avg,norm_down,norm_up
ZNF45,-0.403734497,-0.66732114,-0.140147853,-0.208027112,-0.399484405,-0.016569819,0.281631953,0.080880426,0.48238348,0.13691714,-0.070644884,0.344479165,,,
ZNF451,0.060227309,-0.184880961,0.305335579,-0.211555029,-0.437918708,0.01480865,0.022722704,-0.174782042,0.220227449,0.038831109,-0.196090368,0.273752585,,,
ZNF454,1.197384367,1.008378011,1.386390722,-0.329575907,-0.571935188,-0.087216627,0.020293009,-0.120045342,0.16063136,-0.752697788,-0.8623108,-0.643084775,,,
ZNF460,0.228128453,-0.038968065,0.495224971,0.15819945,-0.283615427,0.600014327,-0.009243307,-0.166428689,0.147942074,-0.241337895,-0.396354043,-0.086321748,,,
ZNF461,-0.179024094,-0.494783232,0.136735043,-0.317490355,-0.633400218,-0.001580493,0.099106224,-0.052967288,0.251179735,0.198036451,0.019163292,0.376909609,,,
ZNF462,1.080314871,0.97748382,1.183145922,-0.204222531,-0.416900311,0.008455249,-0.195030812,-0.347724259,-0.042337364,-0.52122036,-0.73863799,-0.303802731,,,
ZNF467,-0.936465859,-1.191363943,-0.681567776,0.436281886,0.211784684,0.660779089,0.463501203,0.326188781,0.600813626,0.040019798,-0.13482987,0.214869466,,,
ZNF468,-0.319881782,-0.420610697,-0.219152867,-0.183930263,-0.856190472,0.488329945,0.07274261,-0.01990148,0.1653867,0.2621648,0.168159995,0.356169605,,,
ZNF469,0.502748285,0.251632244,0.753864325,0.316155953,0.131750052,0.500561854,0.214153142,0.065356395,0.362949888,-0.740369284,-0.935661052,-0.545077517,,,
ZNF470,0.453050933,0.291529329,0.614572538,0.482598367,0.272667058,0.692529677,-0.063315384,-0.221746806,0.095116038,-0.52041014,-0.777261869,-0.263558411,,,
ZNF471,0.519366101,0.364315815,0.674416387,0.423921094,0.178587513,0.669254674,0.035869283,-0.138257996,0.209996563,-0.635859852,-0.863527389,-0.408192315,,,
ZNF473,0.059630684,-0.188018174,0.307279542,0.335441615,-0.021970674,0.692853903,-0.275061091,-0.454764895,-0.095357288,0.051156392,-0.143021469,0.245334254,,,
ZNF474,-0.851229386,-1.048370289,-0.654088484,0.14289939,-0.112457767,0.398256547,0.511193963,0.315673648,0.706714279,0.07707813,-0.096940902,0.251097161,,,
ZNF479,-0.113727167,-0.22872121,0.001266876,0.006831104,-0.22872121,0.242383418,-0.175432776,-0.22872121,-0.122144342,0.250002901,-0.081745403,0.581751205,,,
